Via Marignano (MM3 - lato parcheggio biciclette);Via XXV Aprile 6/8;Via Bonarelli - pensilina ATM - (lato 1Â° PU)
07:30;07:34;07:41
07:44;07:48;07:55
07:58;08:02;08:09
08:12;08:16;08:23
08:26;08:30;08:37
08:40;08:44;08:51
08:58;09:02;09:09
09:08;09:12;09:19
09:22;09:26;09:33
09:36;09:40;09:47
09:50;09:54;10:01
10:02;10:08;10:15
10:16;10:22;10:29
10:30;10:50;10:57
10:58;11:18;11:25
11:26;11:46;11:53
11:54;12:14;12:21
12:22;12:21;12:28
12:29;12:28;12:35
12:36;12:35;12:42
12:43;12:42;12:49
12:50;12:49;12:56
12:57;12:56;13:03
13:04;13:03;13:10
13:11;13:10;13:17
13:18;13:17;13:24
13:25;13:24;13:31
13:32;13:31;13:38
13:39;13:38;13:45
13:46;13:45;13:52
13:53;13:52;13:59
14:00;13:59;14:06
14:07;14:06;14:13
14:14;14:20;14:27
14:28;14:34;14:41
14:42;14:48;14:55
14:56;15:02;15:09
15:10;15:30;15:37
15:38;15:58;16:05
16:06;16:12;16:19
16:20;16:26;16:33
16:34;16:40;16:47
16:48;16:54;17:01
17:02;;
